,Y,E1,E2,E3,E4,E5,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
14,10.06568265,0.148253876,0.85965157,-1.254759635,-0.549023577,-1.27973922,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0
15,10.00374869,0.996452526,0.442381419,0.970377903,0.553788869,-0.857518948,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0
16,9.885858311,-0.184772433,-0.59412061,-1.220076389,-0.471281821,0.170333209,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1
17,10.02852429,-0.499240431,0.344823514,-1.085322928,0.638068847,0.634131317,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1
18,9.932627316,0.939270175,-0.362245187,-0.194487814,0.664125588,0.157483472,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1
19,9.845799858,-0.300131611,-0.815747806,-1.661470203,2.091693693,0.164623326,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1
20,9.931577457,-0.324277107,0.395838997,0.134999443,-0.85269475,0.419855432,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1
21,10.004759,0.068369755,1.941624635,0.758768977,-2.39515656,1.383899035,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1
22,9.977724375,0.505342509,-0.069032234,0.943876937,-0.680735149,-0.98513435,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0
23,10.05771988,1.147000296,0.022740109,-0.699127083,0.696591542,-1.85083301,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
24,9.998909662,0.217507477,0.893741339,0.814514322,-1.883194202,-0.306526952,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
25,9.881602544,0.757016715,0.070290368,0.236806594,-0.750185368,0.527299074,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
26,9.928861379,-0.33241276,-0.163042158,-0.130184447,1.041958329,0.357386334,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
27,9.949373025,0.581767043,0.121362724,0.648196133,0.451736133,-1.030454178,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
28,9.906697574,-0.522931923,0.277127158,0.260259411,-1.674732665,-0.694176123,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
29,9.954599056,0.902686543,-0.858572651,-0.726779292,-0.344569907,0.746943445,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0
30,9.783855899,-0.175038841,-1.853426019,0.388844719,-0.406364755,-0.196153268,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0
31,9.993738521,-0.649655649,-1.195942222,-0.244120795,1.189831003,-1.86310574,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0
32,9.9703898,0.403666789,-0.900689253,0.435093429,0.685558682,-0.695533815,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
33,9.946256219,1.017009272,-0.682008037,0.259036467,-0.5054175,0.63329536,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1
34,9.987403585,-0.667565244,-1.200417674,-0.203372918,-3.155857934,1.319769598,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0
35,9.904187609,1.181997088,0.473553174,-1.779714937,-0.723054198,0.25919021,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
36,9.971565282,0.016846841,-0.732412302,-0.346946512,0.009413094,-1.118698145,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
37,10.08029887,0.255022202,1.744456697,-0.282992613,-1.646070292,0.641943074,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
38,10.03432546,1.335087542,0.737913901,0.615108595,-0.388867633,-0.20058561,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
39,10.00024923,-2.624549582,0.103309028,0.482601216,-0.723061307,-0.867336234,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0
40,9.903501824,-0.111014437,-0.539878721,0.579290734,0.318967622,-0.85761431,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0
41,9.962001483,0.749217208,-0.288831953,-0.876804897,-2.188338716,0.072384426,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1
42,9.877262656,0.04730512,-0.579624661,0.440634337,0.393046267,-0.500031951,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0
43,9.977232879,-1.418608713,-0.825449828,0.262669483,-0.150035688,-1.776241637,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
44,10.09263278,-0.779321781,0.803156834,-0.836559231,1.892861519,-0.391655458,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1
45,9.902781569,-0.912780419,-0.487069066,-1.227658313,0.311358738,1.819616517,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
46,10.00986049,-0.990457362,1.070431845,-1.38210358,1.125488011,0.245648429,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
47,9.934100518,-0.589303607,-0.53336036,1.406846159,-0.628371263,-1.549870576,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1
48,10.00184467,0.51234776,-0.176400345,-0.554453964,0.277250768,-0.412512254,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
49,9.974164747,0.378389357,-0.612422748,1.935305033,-0.058368771,0.607891371,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1
50,9.970445842,0.010349222,-0.241065081,0.239289071,0.947265079,-1.30937728,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
51,9.930334724,0.157570407,0.60795053,-0.052849087,0.643084129,0.682209054,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0
52,9.840248065,-1.247143652,-0.83233329,-0.542128594,-0.649183101,0.462114633,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1
53,10.00173992,0.284283092,1.194916499,0.12576337,-0.902774342,-0.774767806,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0
54,10.04763224,1.065368569,0.330657831,0.994525014,-0.171174381,-0.603820531,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0
55,9.956424125,0.056666959,0.359886471,0.440142944,-2.77087936,-0.506580017,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1
56,10.0302956,-0.668105477,0.669403699,0.443973091,0.132908654,1.002000388,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
57,10.03764649,0.885125818,-0.369514037,-0.291073056,-0.878780366,-0.440760127,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1
58,9.980176721,-0.082034896,0.729913448,-1.198078974,-0.090289995,0.126096989,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0
59,10.10734155,-1.182373493,1.647504554,0.43654621,-0.375176245,-0.891135804,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
60,9.957322995,1.419408967,0.280069946,-0.791612576,0.212533084,-0.442819735,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0
61,9.925096764,-0.005126295,0.147763634,-1.366417129,-0.376633927,1.236531449,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1
62,9.915536786,-0.746390315,-1.171366128,-0.070548857,1.237838772,-0.070314507,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
63,9.996916462,-2.005820191,1.218529363,-2.458555976,-0.099006691,-0.194411512,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
64,9.814354473,1.374423893,-0.812867869,-0.559821982,0.256013818,0.941344297,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1
65,10.04631483,-0.025032661,0.126276036,-0.229107429,-0.854069809,-0.808490169,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
66,9.953754219,0.669103228,0.146946833,0.856903484,-1.897617285,1.120082088,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
67,9.85483525,2.018862828,-1.689224582,-0.064176647,-1.342578486,1.133941103,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0
68,9.960502416,-1.148276193,0.338984073,-0.622797994,-0.915693597,1.433375917,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0
69,10.02208616,0.441940225,0.408240345,-0.029409525,0.833029592,0.325643413,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0
70,10.01899766,-0.372795775,0.679553514,-0.132376866,-0.26988892,1.233851916,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0
71,9.931792015,-0.777981747,-1.154103653,0.039487344,-0.667606297,-0.24745549,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1
72,9.926594177,-0.83531869,-1.26207146,-0.643517416,0.850129555,-1.247983582,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1
73,9.847775898,-0.295052629,-0.665955232,-0.608059085,1.197834956,-0.271082274,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0
74,9.930857868,1.452885462,-0.19293694,1.745990155,0.091761244,-1.457362131,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0
75,10.03746498,0.551542831,1.219731265,-0.723579427,0.391667903,-0.065952976,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0
76,9.999039381,0.376995987,-0.018334808,-0.011547509,-0.88761898,-0.752604516,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0
77,9.952337196,0.218439924,0.433588828,0.092710065,1.448599672,0.499062164,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0
78,10.05586698,-1.933725223,-0.990173669,-0.076654672,-0.862024942,-1.383051062,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1
79,9.940500274,1.167800532,-0.961360946,-1.592883368,-1.635075949,0.999603444,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1
80,10.07315611,-2.330588267,-0.206332769,0.653434075,0.419414568,-1.227801331,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
81,10.0219657,-0.61545141,-0.597428925,-0.010183712,-2.231515753,-0.388132,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0
82,9.939783711,-0.328439979,-0.059872199,0.17914683,-0.550863744,0.519451511,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
83,9.99714492,-1.282298592,-0.774520185,-1.156211151,-1.818077577,-0.025841354,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1
84,9.984520663,0.135778774,0.530540592,-0.59441352,-0.97047444,0.712884407,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0
85,9.969459039,-0.274969571,-1.542334946,1.033426358,-1.709398663,-2.084092564,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1
86,9.911646286,0.427055938,0.408491192,0.563026664,-1.720380747,0.259560374,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
87,9.975789922,1.653526303,0.505710756,-1.556105869,0.051230828,-2.137017984,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
88,9.996072551,-0.180154404,0.159376303,1.019344604,-0.384345681,-0.03693336,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
89,9.850038024,0.324837168,-1.403646887,1.046532844,-0.46286276,0.69452764,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
90,9.873963446,0.53128223,-0.816294433,-0.338107639,0.51918526,-0.069670073,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0
91,9.949494033,0.469607147,-1.290299528,1.179496894,1.595864261,-1.322866456,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1
92,10.0124127,-0.015387197,0.574676765,-0.521582849,0.072958784,0.040009125,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0
93,9.952651325,-0.03523695,0.002520413,-1.388629398,0.51579924,-0.046944909,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
94,9.899122573,0.000201994,-1.09290376,0.060628134,0.418097247,1.156588267,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
95,9.959098352,0.749379625,2.465071506,1.315413042,-0.407531586,2.307711885,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
96,10.0042369,1.137135842,1.554589486,-1.803331798,-0.32359103,0.171066372,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1
97,10.11748304,0.788432459,2.283326927,0.630177373,0.669554282,-0.203735331,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0
98,10.00240276,0.582618819,0.902288299,-0.671938049,0.427155478,-0.502284601,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1
99,9.966853114,-1.193515157,0.474485079,1.120533782,0.449251334,0.723801526,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0
100,9.998033688,1.044757387,0.526085565,-0.252999414,0.397701799,0.925246928,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1
101,9.945707771,-0.362709785,-0.067574479,0.437190476,0.558971994,0.579833361,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
102,10.06882065,0.099277878,-0.185465242,-0.295630237,0.256335045,-1.594850745,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
103,9.982236886,0.201570991,0.809872908,0.355560105,-0.204584167,1.226530271,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
104,9.862810852,0.001380772,-1.214940621,-0.746416761,-0.691467044,-0.399256801,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1
105,9.966651068,-1.006153037,-0.318126096,-1.200530881,1.449552444,1.074105873,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1
106,9.962340641,-0.981231868,0.72545581,-0.489438391,-0.54683188,0.386617521,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
107,9.882496755,-0.053897346,-0.742363952,1.671430862,1.862623294,0.373323312,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0
108,9.948771913,0.85945796,0.913883745,-0.304418387,-0.623288176,0.260169252,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1
109,9.916478518,1.379946874,0.267813186,-2.239993802,0.739653156,0.108284586,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
110,9.880562183,-0.705040906,-1.167070896,-0.289051147,2.51524001,-0.072573868,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0
111,9.98511325,-0.42736919,-0.48138054,0.54995128,-0.900205034,-0.426574633,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0
112,10.02039103,-0.287356996,-0.545760521,0.306621903,-0.501964435,-0.287883063,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1
113,9.917952404,-0.459837862,-0.008177329,-0.913549255,-2.124271731,0.517365162,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
114,10.05854641,-0.778688331,1.782853338,0.592574816,-0.197847488,1.026954455,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
115,9.945888275,1.616645859,0.700007372,-0.06884675,-0.547260905,1.021987722,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1
116,10.01307144,0.590779674,0.307924334,-1.463146238,0.217417306,-0.829459334,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
117,9.90712584,0.645153963,-0.719596622,-0.539095883,-0.115745479,-1.016901016,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
118,10.0855057,0.029119606,0.834643192,-1.814962869,-0.274281954,-0.716436387,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
119,10.05440399,-0.41301236,1.139475092,0.325828308,-0.820269952,-0.79511925,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0
120,9.993489696,-0.890510422,-0.531707392,-0.135733838,1.611446827,0.326765718,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0
121,10.01102599,-0.962237362,0.30706711,-0.692064253,-0.353709279,0.835938761,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
122,10.04400214,1.137525121,0.129596239,0.371634954,-0.227922486,-1.549160735,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
123,9.846915177,0.11984466,-0.807633703,0.797899834,-0.277795502,-1.229891358,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0
124,10.09103246,0.13265416,0.082933364,0.322081938,-0.190659601,-1.586964431,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
125,10.22144268,1.02380037,1.589926091,-1.87068706,-1.141613284,-1.604225056,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
126,10.04871214,-2.284110109,0.323186118,1.186081295,-0.498700963,0.695111084,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
127,9.93948432,0.769523198,1.412845611,1.269835134,-2.335443079,1.220278237,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0
128,10.01338231,1.458636691,0.435405476,-0.872681374,0.648879272,-1.056796746,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1
129,9.964434847,1.308690313,-0.085516216,0.93771178,1.161450553,0.056973414,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130,9.915337657,0.189153096,-1.334478627,-0.689645242,-0.33917305,-1.082128428,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0
131,10.00818593,-2.056712876,-0.391974836,-0.273858986,0.912711934,-0.148773658,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0
132,9.937899758,-0.28308413,0.335728998,1.83829785,1.265006973,0.521099148,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0
133,10.04935202,0.490403724,0.467955862,0.475887605,0.219698238,1.009235413,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
134,9.879595984,-0.433764464,-0.631609385,0.712331476,-0.862684146,1.016231257,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
135,10.01150067,-2.393330972,0.41556536,0.338516439,-1.033583779,0.758666816,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
136,9.995968331,1.591031627,1.243122877,-1.415007615,-0.697743918,0.022503822,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0
137,9.792199577,1.250451147,-1.017653274,1.395687467,0.504143489,0.276465653,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
138,10.08757813,-0.186310555,-0.118428709,0.966340079,0.208413347,-0.92133393,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0
139,9.966870262,-0.75899454,-0.329357638,-1.341056112,-0.314502649,1.098024929,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1
140,10.01358143,-0.066314796,0.114212817,0.048005324,-0.55012653,-0.909208393,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1
141,9.910192823,-0.151423208,-1.360548873,0.054112193,-2.653718874,-0.372217931,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1
142,9.841806982,0.13719624,-0.188768347,-0.577529942,-0.555845038,0.748248959,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0
143,9.952045228,0.71988724,1.005266866,0.442177476,-1.103552965,2.11285363,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
144,10.00975205,-0.982699909,1.271922562,1.517674472,-1.817887494,-0.979317525,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
145,9.975098853,-0.27324176,0.472590443,-0.928136177,-0.102611828,0.988890516,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1
146,10.0070777,-1.739961443,0.136594291,0.8196668,0.681982884,-0.216256113,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0
147,9.902389501,1.619651848,-0.232812753,0.37657308,-0.407484055,2.697858892,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1
148,10.04861761,-0.074987965,1.739775933,-0.106517678,0.93972672,0.769778426,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
149,9.977521175,-0.314213649,-0.526445599,-1.239602146,-0.14462798,1.090038642,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
150,9.960702629,-0.113764,-0.919195632,0.516116796,-0.671120086,0.264133234,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0
151,9.863594633,-1.310393858,-0.64822132,0.509515862,-0.966186314,1.818679577,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0
152,9.951556218,-0.037257215,-0.266458502,0.661092343,0.935972041,-0.718645115,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0
153,10.04316748,0.058716004,0.377165564,0.41553896,1.201537544,0.683754954,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0
154,9.974107398,-0.410147366,0.189423294,-0.096788529,0.414981137,-0.662863912,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
155,9.93807022,1.167041806,0.094672443,-0.613201255,-0.16194577,-0.179705341,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0
156,10.0690187,-0.227105613,0.577961387,-0.134277909,-0.916744196,-2.021007947,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
157,9.764195123,-0.2648075,-1.696023544,-0.385922398,0.515285783,0.488900546,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0
158,9.842388829,0.505931714,-1.318897793,1.484107646,-0.309472908,0.774102024,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1
159,10.08242814,-0.292109557,0.678455827,2.470467077,-0.751999291,-1.43554914,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1
160,9.968862407,0.848437216,0.217410719,-0.593690077,0.819744971,0.751991229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
161,9.956304264,-0.610236905,-1.348888122,-1.2332743,1.08304047,-1.601683953,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0
162,10.08502825,-2.555319061,-0.154603998,0.745387299,0.859798464,-1.387095558,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0
163,9.917225591,-0.220924798,-0.630813338,0.540792139,0.069905353,0.242646367,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
164,10.00263889,-2.534303406,-0.155875739,0.879784622,-0.202893413,-0.699919516,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
165,9.99011622,-0.491989462,0.442220695,-2.109221223,0.556464447,-0.499812958,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
166,9.870376286,0.823925124,-0.169803709,0.349202333,-0.76885741,0.440971126,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1
167,9.92867015,0.390810369,-0.455181801,1.130855729,1.044841163,1.016742862,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1
168,9.998688592,0.616863189,0.013089378,-0.214786963,0.419102165,-1.078525896,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1
169,9.973742835,0.556814462,-0.037662373,1.924105378,-0.388862629,0.223519624,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
170,9.871021757,-1.731745795,-1.10858997,-0.674398826,-2.235066418,-1.960226416,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
171,9.979658,0.690103132,0.168028139,1.854639116,-0.023577707,0.014287393,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0
172,9.989781296,-1.198860428,-0.329377926,-0.831941545,0.29463672,1.183438872,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
173,10.07909213,-3.066688325,-0.67071159,0.010170398,0.39680422,0.355906021,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1
174,10.00577432,0.76520902,0.695024734,-0.701024571,0.820044672,-2.426294155,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
175,10.0952961,-0.598190689,0.144495334,0.859526271,0.129161663,-1.645264335,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0
176,10.00281887,-0.260302829,0.470246493,1.793061498,0.751324711,1.762744158,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1
177,10.0405119,-0.941562191,-0.42140819,0.882167313,2.148808327,-0.718253911,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
178,10.01842564,0.223743437,-0.363270734,-0.346053973,-1.116093977,-1.319951603,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1
179,10.00488237,-1.864920308,-1.115228137,1.510430003,-0.798174521,-0.325740865,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0
180,9.931135974,-0.392300678,-0.943841682,-0.832547052,0.003312861,-0.018461683,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
181,9.998655408,-0.016099527,1.251821051,-0.670889374,-0.098555046,-0.614449519,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
182,9.957707334,1.15432056,0.79414589,-0.838045134,-1.410108654,0.661857121,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1
183,9.890234256,-0.521191753,-0.435712832,0.342631525,-0.673007844,0.012115804,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1
184,9.930945892,0.342504057,-0.092962778,2.685813515,-2.953994842,-0.152189892,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1
185,10.13720565,0.155858395,0.714245825,-1.496116076,-0.216832455,-1.019086672,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1
186,10.07056099,0.652967753,2.419016029,0.37524232,0.730531277,-0.131767002,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1
187,9.997087296,0.574919208,0.721061416,2.597291599,0.781266646,0.481911782,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
188,9.871782323,0.104658112,-0.818797554,0.140453241,-0.519071473,0.569033757,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
189,10.02466283,0.498098193,1.258219914,-0.478196041,0.265069802,-0.157648035,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0
190,9.942238119,1.330865773,0.856262075,-1.8018853,2.094593649,0.436866491,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
191,9.907059214,0.572465871,-0.465229605,-1.672115233,0.523667463,0.670167712,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1
192,9.942515511,1.255720921,-1.117763196,0.163532114,-1.444754201,-0.768914531,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
193,9.912002888,-0.846482747,0.352790363,1.524631703,-0.007026629,-0.441894898,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1
194,10.03225556,1.960725153,0.130292301,0.887017074,-1.730258323,-1.077052992,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
195,9.863269042,-0.616350069,-0.747287402,2.196858855,0.77208965,-1.038234846,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0
196,9.896101631,0.194706997,-0.619526785,-0.152890008,0.992131965,1.10967962,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0
