age,income,tenure,district,profit15,online15,billpay15,profit16,online16,billpay16
6,6,22.41,3,316,0,0,336,0,0
4,6,6.25,1,-44,0,0,827,1,0
4,9,15.08,2,-27,0,0,-27,0,0
5,7,32.08,2,6,0,0,-26,0,0
3,6,6.91,2,-13,0,0,733,0,0
3,1,1.25,3,-43,0,0,NA,NA,NA
4,9,0.41,2,362,0,0,231,0,0
2,1,8.41,2,7,0,0,-9,0,0
3,1,3.75,1,-67,0,0,-105,0,0
4,6,2.83,2,-34,0,0,NA,NA,NA
7,6,3.33,3,191,1,0,NA,NA,NA
4,7,5.41,2,-30,0,0,-31,0,0
7,3,15.08,2,277,0,0,54,0,0
3,6,1.25,3,4,0,0,21,0,0
5,8,6.75,2,16,1,0,64,1,0
4,9,10.25,2,703,1,0,156,1,1
3,6,7.66,2,-36,0,0,82,1,0
6,9,29.41,2,238,1,0,249,1,0
6,1,4.16,2,-47,0,0,14,0,0
7,3,2.5,3,220,0,0,-19,0,0
4,6,11.66,1,-213,0,0,-143,1,0
4,6,6.16,1,-41,0,0,0,0,0
4,6,3.91,2,253,0,0,121,0,0
1,1,6.41,2,-29,0,0,-2,0,0
5,9,2.58,2,-126,0,0,-40,0,0
5,6,7.75,2,-38,0,0,NA,NA,NA
2,5,5.16,2,83,0,0,408,1,0
3,6,4.66,2,73,0,0,99,0,0
3,8,1.5,2,-5,0,0,9,1,1
3,7,7.08,2,380,0,0,212,0,0
6,1,34.5,2,-56,0,0,95,0,0
5,9,11.08,2,51,0,0,64,0,0
6,7,4.58,2,56,0,0,22,0,0
2,7,3.75,2,-90,1,0,-4,1,0
7,6,10.08,1,-69,0,0,-71,0,0
6,6,6.5,2,-131,1,1,-58,1,0
7,9,33.5,2,-141,0,0,10,0,0
4,6,10.25,3,-48,0,0,-63,0,0
4,6,8.83,2,-66,0,0,39,0,0
4,1,5.5,3,-6,0,0,236,1,1
4,5,5.08,2,-65,0,0,-29,0,0
4,9,21.41,2,318,0,0,327,0,0
4,4,10.66,2,768,0,0,725,0,0
5,6,5.91,2,-24,0,0,-17,0,0
2,4,7.5,2,19,0,0,NA,NA,NA
3,6,6.75,1,208,0,0,44,0,0
5,7,6.83,2,-83,0,0,NA,NA,NA
4,6,24,2,36,0,0,47,0,0
7,3,20.58,1,295,0,0,61,0,0
4,4,2,2,10,0,0,NA,NA,NA
4,3,5.58,2,46,0,0,506,0,0
4,9,12.66,2,671,0,0,262,0,0
4,8,21.08,2,56,0,0,113,0,0
5,9,20.83,2,865,0,0,811,0,0
3,1,4.16,2,-29,0,0,-99,0,0
3,3,3.5,3,13,0,0,NA,NA,NA
2,4,9.41,2,218,0,0,8,1,0
3,9,7.58,2,94,0,0,NA,NA,NA
7,1,1.91,2,-82,0,0,-58,0,0
3,1,3.75,2,-134,0,0,NA,NA,NA
5,7,4.58,2,-2,0,0,-2,0,0
3,2,6.41,3,-3,0,0,8,0,0
3,6,7.5,2,-45,0,0,-5,0,0
2,7,4.41,2,-191,1,1,-74,1,1
5,6,6.75,2,66,0,0,53,0,0
4,4,8.16,2,47,0,0,136,0,0
5,5,6.5,2,10,0,0,180,0,0
3,5,5.41,2,0,0,0,-21,0,0
6,7,41.16,2,396,0,0,450,0,0
1,2,13.91,2,53,0,0,75,0,0
3,6,2.75,2,96,0,0,124,0,0
4,9,14.25,2,-25,0,0,-19,0,0
3,3,1.91,2,-27,1,0,-29,1,0
4,7,17.5,2,301,0,0,378,0,0
7,4,37.41,3,475,0,0,397,0,0
3,9,3.16,2,-7,0,0,NA,NA,NA
4,4,22.25,1,121,0,0,34,0,0
4,4,5.33,3,175,0,0,NA,NA,NA
4,6,9.25,2,32,0,0,268,1,0
3,6,4.5,2,-6,0,0,-32,0,0
2,7,6.08,2,110,0,0,NA,NA,NA
4,6,4.08,2,-54,0,0,38,0,0
2,6,10.08,2,-118,0,0,-114,0,0
2,3,1.33,2,13,0,0,NA,NA,NA
3,6,8.91,2,284,1,0,196,1,0
3,8,5.91,3,79,0,0,NA,NA,NA
3,9,1.5,3,-20,0,0,NA,NA,NA
6,4,3,2,-91,0,0,-112,0,0
3,8,8.25,2,52,0,0,51,0,0
3,9,10.16,2,198,0,0,88,0,0
2,9,3.66,2,565,1,0,1198,1,0
5,6,26.75,2,23,0,0,167,0,0
3,7,5.91,2,-60,0,0,-60,0,0
4,6,11.58,3,-33,0,0,-34,0,0
3,1,1,2,-9,0,0,NA,NA,NA
2,2,4.41,2,-19,0,0,NA,NA,NA
6,3,25.83,2,439,0,0,640,0,0
6,6,30.08,2,167,0,0,238,0,0
6,3,2.16,2,-63,0,0,-64,0,0
6,6,5.41,2,-25,0,0,-29,0,0
4,6,6.16,2,338,0,0,NA,NA,NA
4,6,7,2,78,0,0,109,0,0
2,5,4,3,459,0,0,394,0,0
4,1,11.25,3,-52,0,0,-69,0,0
4,9,2.75,2,136,0,0,-28,1,0
3,7,7.08,2,16,0,0,NA,NA,NA
3,7,9.08,2,-68,0,0,-36,1,0
7,9,7.91,2,441,0,0,NA,NA,NA
7,6,14.33,2,263,0,0,119,0,0
5,5,3.58,2,-59,0,0,-55,0,0
3,5,1,2,69,0,0,28,0,0
3,8,4.25,2,-25,0,0,-26,0,0
4,9,15.41,2,639,0,0,221,1,0
3,6,13.58,2,896,0,0,678,0,0
7,3,3.66,2,-58,0,0,NA,NA,NA
2,6,5.16,2,642,0,0,379,1,1
5,1,20.41,1,-37,0,0,129,0,0
3,6,3.75,2,-28,0,0,NA,NA,NA
7,1,29.25,1,136,0,0,NA,NA,NA
4,1,5.08,3,49,0,0,162,0,0
2,1,0.16,2,10,0,0,NA,NA,NA
7,6,13.83,2,-120,1,0,75,1,0
3,2,7.08,2,-80,0,0,-62,0,0
7,3,26.41,2,498,1,0,365,1,0
3,6,0.75,2,402,0,0,394,0,0
5,5,3.75,2,439,0,0,NA,NA,NA
7,3,2.33,2,308,0,0,205,0,0
5,5,10.5,2,0,0,0,-30,0,0
3,7,1.41,2,-19,1,0,-83,1,0
5,6,19.5,2,283,1,0,403,1,0
2,7,10.08,2,92,0,0,88,0,0
4,5,21.41,2,14,0,0,38,0,0
7,2,8.91,2,177,0,0,210,0,0
2,9,5.08,2,14,0,0,-82,0,0
3,6,3.66,2,-40,1,0,NA,NA,NA
3,8,5,2,216,0,0,2726,1,0
4,5,4.5,1,-107,0,0,-133,0,0
2,6,6.58,3,-37,0,0,3,0,0
3,1,2.41,2,33,0,0,7,0,0
4,9,17.66,2,22,0,0,252,0,0
4,7,9.75,2,-65,0,0,-72,0,0
4,5,13.16,3,-17,1,0,34,1,0
2,2,4.33,2,-26,0,0,NA,NA,NA
2,8,4.91,2,126,0,0,168,0,0
4,6,14.91,2,382,0,0,368,0,0
5,3,22.5,1,5,0,0,-3,0,0
2,6,7.75,2,-88,0,0,-171,0,0
7,2,15.16,2,204,0,0,337,0,0
5,5,5,2,170,0,0,81,0,0
5,4,20.58,2,-24,0,0,-9,0,0
5,2,2.91,3,-24,0,0,NA,NA,NA
5,9,30.08,2,273,0,0,315,0,0
4,6,3.5,2,404,0,0,278,0,0
4,6,4.5,3,-10,1,0,447,1,0
7,1,18.16,2,98,0,0,111,0,0
3,7,1.91,3,11,0,0,131,0,0
7,9,27.25,2,-17,0,0,-36,0,0
1,7,2.75,1,1,0,0,NA,NA,NA
4,6,11.08,2,-179,1,0,-189,1,0
2,9,4.91,2,0,1,0,-24,1,0
2,1,5.16,2,-33,0,0,NA,NA,NA
4,3,18.25,2,746,1,0,799,0,0
6,1,13.66,2,175,0,0,13,1,0
2,6,5.75,2,-110,0,0,-98,0,0
7,6,22.08,2,7,0,0,86,0,0
7,1,16.16,2,259,0,0,293,0,0
1,8,5.33,2,44,0,0,47,0,0
4,5,25.33,2,160,0,0,NA,NA,NA
3,9,16.58,2,246,0,0,NA,NA,NA
7,5,8.25,2,73,0,0,164,0,0
3,4,4.58,2,-78,0,0,-37,0,0
4,6,4.16,2,177,0,0,62,0,0
2,3,4.5,1,13,0,0,-23,0,0
2,6,12,2,-1,0,0,83,0,0
2,6,4.66,2,401,0,0,215,1,0
4,6,5.25,2,335,0,0,315,0,0
5,9,9.16,2,-109,0,0,NA,NA,NA
6,4,26.91,2,1088,0,0,1162,0,0
2,3,5.08,2,-30,1,0,-29,1,0
4,6,15.33,2,-10,0,0,0,0,0
7,7,9,3,400,0,0,402,0,0
2,3,11.41,2,285,0,0,143,0,0
4,7,4.41,3,165,0,0,NA,NA,NA
3,3,2.25,2,128,0,0,395,0,0
2,6,0.5,2,-27,1,0,NA,NA,NA
3,7,1.5,2,-48,0,0,-7,0,0
4,9,21.83,2,1517,0,0,1470,0,0
7,3,9.75,2,-59,0,0,-40,0,0
4,9,8.5,2,76,0,0,186,0,0
2,1,2.08,2,-19,0,0,-19,0,0
2,1,4.08,2,10,0,0,-7,0,0
3,5,11.25,2,45,0,0,NA,NA,NA
5,6,26.33,2,157,1,0,161,1,0
5,6,0.83,2,563,0,0,829,0,0
4,9,17.75,2,-95,0,0,43,0,0
7,4,11.41,2,-69,0,0,-69,0,0
6,3,3.41,2,-16,0,0,NA,NA,NA
4,9,19.66,2,-97,0,0,-10,0,0
5,1,18.33,2,721,0,0,NA,NA,NA
2,1,0.66,2,-24,0,0,-47,0,0
7,3,0.58,2,-16,0,0,13,0,0
6,3,1.58,3,-76,0,0,10,0,0
2,6,4,2,-50,0,0,NA,NA,NA
3,3,2.25,2,-36,0,0,NA,NA,NA
7,2,0.16,2,417,0,0,416,0,0
6,8,17.08,1,-184,0,0,-53,0,0
2,6,6.25,3,75,0,0,-28,0,0
4,9,7,2,135,0,0,96,0,0
3,4,6.25,2,206,0,0,NA,NA,NA
4,8,5.08,3,-15,0,0,-26,0,0
5,8,18.5,2,109,0,0,90,0,0
5,8,5.25,2,59,0,0,69,0,0
3,9,13.5,2,-34,0,0,-73,0,0
1,2,2.75,3,-32,0,0,-39,0,0
6,4,18.33,3,95,0,0,164,0,0
4,4,27.08,2,609,0,0,629,0,0
4,6,1.75,2,-7,0,0,-24,0,0
4,6,13.33,2,-211,0,0,45,0,0
1,4,2.5,1,-150,0,0,-32,0,0
1,5,1.66,2,-9,0,0,NA,NA,NA
5,4,29.66,2,92,0,0,14,0,0
5,8,21.41,2,193,0,0,103,0,0
7,9,3.25,2,367,0,0,227,0,0
7,6,10.66,2,244,0,0,28,0,0
4,4,7.08,2,-111,0,0,-84,0,0
2,2,7.25,2,-3,0,0,80,1,0
2,1,5.41,1,245,0,0,187,0,0
2,1,4.25,2,-15,0,0,NA,NA,NA
7,1,30.91,3,-76,0,0,-68,0,0
4,9,5.58,2,490,1,1,532,1,1
2,7,5.66,3,-2,0,0,-21,0,0
4,5,13.41,2,-27,0,0,NA,NA,NA
6,6,9.83,2,19,0,0,154,0,0
3,6,3.5,2,326,0,0,-80,0,0
7,6,6.5,2,117,0,0,1611,0,0
7,3,10.58,2,755,0,0,1363,0,0
2,1,14.91,2,0,0,0,6,0,0
3,5,1.58,2,23,0,0,-18,0,0
6,8,9,2,-60,0,0,-60,0,0
1,1,1.08,2,15,0,0,NA,NA,NA
5,5,5.16,2,-23,0,0,11,0,0
4,3,18.16,2,-26,0,0,73,0,0
1,6,11,2,24,1,0,13,0,0
3,6,9.83,2,-16,1,0,NA,NA,NA
2,9,4.16,3,184,0,0,71,0,0
3,8,21.08,2,321,1,0,396,1,0
3,5,9.66,1,-8,0,0,-70,0,0
3,7,3.66,2,-40,0,0,-43,0,0
4,9,24.75,2,-127,0,0,-282,1,0
6,3,26.58,2,125,0,0,174,0,0
3,5,6.08,3,84,0,0,47,0,0
7,6,3.83,2,-29,0,0,NA,NA,NA
2,2,4.16,2,-37,0,0,10,0,0
4,6,12.91,2,-94,1,0,36,1,0
4,6,23.66,2,63,0,0,-32,0,0
2,7,2.33,2,15,0,0,14,0,0
2,3,4.33,2,-34,0,0,-34,0,0
6,3,26.83,2,49,0,0,-52,0,0
5,7,35.08,2,24,0,0,123,0,0
3,9,5.66,2,672,0,0,17,0,0
3,1,3.41,2,-25,0,0,-19,0,0
4,6,6.58,2,135,0,0,1337,1,0
4,8,24.91,2,-38,0,0,-53,0,0
4,6,21.16,2,4,0,0,NA,NA,NA
4,4,17,2,-33,0,0,NA,NA,NA
4,6,24.08,2,-40,0,0,NA,NA,NA
3,8,4.66,3,107,0,0,48,0,0
3,9,16.5,2,89,1,0,NA,NA,NA
2,7,5.58,2,-25,0,0,NA,NA,NA
6,7,12.91,2,-84,0,0,NA,NA,NA
2,6,1.58,2,35,0,0,69,0,0
4,8,2.58,3,-22,0,0,NA,NA,NA
7,9,11.08,1,-25,0,0,-32,0,0
4,5,10.41,3,80,0,0,178,0,0
4,2,7.16,1,254,0,0,23,0,0
4,9,16.16,2,460,1,0,355,1,0
4,6,7,2,12,0,0,-62,0,0
7,2,0.5,2,73,0,0,114,0,0
3,1,3.83,1,92,0,0,128,0,0
3,6,5.16,2,-48,0,0,1,0,0
4,9,5.16,2,551,0,0,229,1,0
4,4,6.58,1,-22,0,0,-22,0,0
2,8,8.33,2,292,0,0,252,0,0
4,6,6.5,2,-24,0,0,-210,0,0
5,7,4.91,2,-9,0,0,-13,0,0
3,7,16.58,2,151,0,0,144,0,0
2,9,7.66,2,-65,0,0,-80,0,0
7,5,12.16,2,-25,0,0,-24,0,0
4,6,4.91,2,-47,0,0,-22,0,0
1,1,0.83,3,237,0,0,153,0,0
4,6,4.16,2,-26,1,0,NA,NA,NA
3,4,1.58,2,-45,0,0,-20,0,0
5,5,27.83,2,-5,0,0,-19,0,0
2,9,4.75,2,372,0,0,530,0,0
4,9,2.41,2,686,0,0,847,1,0
4,6,14.08,2,-120,0,0,45,0,0
3,7,2.41,2,479,0,0,377,0,0
5,4,1.5,3,29,0,0,133,1,0
7,9,1.66,2,-40,0,0,6,0,0
2,4,4.91,2,-95,0,0,-141,1,0
5,3,18.58,2,-61,0,0,-61,0,0
4,9,32.5,2,-103,0,0,20,0,0
3,8,7.91,3,48,0,0,48,0,0
3,6,4.58,2,1276,1,0,202,1,0
7,8,15.5,2,-165,0,0,-166,1,0
5,5,21.91,2,1003,1,0,1405,0,0
3,3,4.33,2,-20,0,0,-17,0,0
3,9,17.08,2,272,0,0,301,0,0
4,7,27.25,2,378,0,0,194,0,0
5,4,1.58,3,-37,0,0,-34,0,0
4,6,0.5,2,-31,0,0,-38,0,0
3,3,6.66,1,-61,0,0,-128,0,0
6,6,0.5,2,-33,0,0,-31,0,0
3,3,1.5,2,-37,0,0,-64,0,0
5,9,9.83,2,572,0,0,722,0,0
3,7,5.41,2,112,0,0,NA,NA,NA
5,7,5.5,2,-35,1,0,-1,0,0
5,7,10.83,2,1227,0,0,NA,NA,NA
5,1,23.25,3,-133,0,0,NA,NA,NA
3,7,17.5,2,210,1,0,589,0,0
4,7,10.75,2,195,0,0,198,0,0
3,6,12.5,2,-36,0,0,-35,0,0
1,1,4.16,3,1,0,0,-9,0,0
6,7,10.41,2,51,0,0,-95,0,0
7,2,40.66,2,1052,0,0,104,0,0
5,6,18.58,2,-41,0,0,-66,0,0
4,5,13.5,2,1,0,0,NA,NA,NA
4,9,13.66,2,210,0,0,265,0,0
3,5,5.58,2,152,1,0,269,1,0
7,6,11.58,2,223,0,0,102,0,0
2,9,5.91,2,404,1,0,596,1,0
4,6,3.41,3,-95,0,0,89,0,0
3,1,12.41,3,161,0,0,175,0,0
4,4,18.41,3,-181,0,0,-23,0,0
2,6,6.91,3,486,0,0,134,0,0
2,6,7.33,2,-6,1,1,-15,1,1
3,8,13.91,2,-202,0,0,-226,0,0
2,3,3.58,2,-30,0,0,-19,0,0
3,6,4.83,2,295,0,0,164,0,0
4,6,2.58,2,-24,0,0,374,0,0
7,4,7.25,1,41,0,0,41,0,0
4,7,29.33,2,-149,1,0,-146,1,0
7,7,27.41,1,-131,0,0,NA,NA,NA
7,4,2.83,3,416,0,0,602,0,0
7,6,3.83,2,-43,1,0,-50,1,1
4,5,9.66,2,430,0,0,39,0,0
3,5,7.41,1,-149,0,0,41,0,0
4,4,8.16,2,48,0,0,-7,1,1
7,3,7.41,2,-6,0,0,10,0,0
4,6,4.75,1,-51,0,0,-42,0,0
3,2,4.33,2,-29,0,0,NA,NA,NA
4,6,21.08,2,3,0,0,-83,0,0
4,4,22.33,3,-52,0,0,11,0,0
5,7,17.5,2,163,0,0,152,0,0
3,6,19.33,2,-20,0,0,-94,0,0
5,3,10.5,2,153,0,0,391,0,0
5,4,9.83,2,-49,0,0,-31,0,0
6,2,12.08,2,223,0,0,258,0,0
6,4,15.08,2,503,0,0,474,0,0
2,4,6.33,1,119,0,0,73,0,0
3,7,9.66,2,480,1,0,318,0,0
2,1,2.5,2,-38,0,0,-36,0,0
2,1,7.91,2,-1,0,0,-37,0,0
6,3,6.75,2,-40,0,0,NA,NA,NA
7,1,21.66,2,-70,0,0,-33,0,0
3,9,10.33,2,552,0,0,-28,0,0
5,9,15.66,2,109,0,0,123,0,0
6,7,5.66,1,115,0,0,6,0,0
3,5,4.75,2,-30,0,0,-38,0,0
4,2,26,2,314,0,0,237,0,0
6,9,19.16,2,285,0,0,259,0,0
2,1,2.83,2,-7,1,0,13,1,0
6,6,13.58,2,-66,0,0,-58,0,0
3,1,1.58,1,-56,0,0,-64,0,0
4,8,7.41,2,392,0,0,824,0,0
6,3,11.08,1,-112,0,0,-80,0,0
3,8,8.33,3,-48,0,0,-43,0,0
7,6,15.66,2,784,0,0,1146,0,0
3,5,4.91,3,-59,0,0,NA,NA,NA
7,1,30.08,2,1818,0,0,672,0,0
4,1,3.08,1,33,0,0,83,0,0
4,6,1.58,3,-21,0,0,-13,0,0
5,4,17.25,2,8,0,0,NA,NA,NA
4,6,5.91,2,457,0,0,914,0,0
6,3,22.5,3,-79,0,0,-88,0,0
1,2,7.33,2,138,0,0,NA,NA,NA
3,6,10.83,1,129,0,0,417,0,0
3,6,2.41,2,-27,0,0,-23,0,0
2,4,6,3,141,0,0,197,0,0
7,4,19.83,3,110,0,0,127,0,0
6,7,27.66,2,107,0,0,-49,0,0
3,6,17,2,-7,0,0,82,0,0
3,5,6.83,2,94,0,0,80,0,0
2,3,3.33,2,48,0,0,66,0,0
4,1,5,1,-9,0,0,-4,0,0
5,5,10.66,2,-39,1,0,-35,1,0
3,1,2.08,2,-32,0,0,NA,NA,NA
4,2,14.75,1,111,0,0,100,0,0
5,9,5.25,3,381,0,0,799,0,0
2,1,1.33,1,-30,0,0,NA,NA,NA
2,6,6.66,2,-17,0,0,NA,NA,NA
7,1,20,2,30,0,0,106,0,0
2,4,8.33,2,442,1,0,102,0,0
7,4,19.33,3,720,0,0,NA,NA,NA
3,8,7,2,210,0,0,267,0,0
6,3,33.83,1,-54,0,0,-44,0,0
4,6,6.58,1,-2,0,0,NA,NA,NA
6,4,4.66,3,-29,0,0,NA,NA,NA
3,6,3.91,2,-1,0,0,NA,NA,NA
3,1,6.16,2,-3,0,0,-3,0,0
7,6,12,2,-53,0,0,-54,0,0
6,3,10.5,2,103,0,0,NA,NA,NA
3,9,16.33,2,300,0,0,240,0,0
7,9,0.91,2,146,0,0,108,0,0
5,5,28,2,145,0,0,220,0,0
3,3,9.66,2,-26,0,0,NA,NA,NA
1,6,4.83,2,58,0,0,NA,NA,NA
2,7,5.91,2,8,0,0,115,1,0
7,1,1.66,3,380,0,0,NA,NA,NA
5,6,4.33,3,-119,0,0,NA,NA,NA
4,6,2.41,2,359,0,0,NA,NA,NA
6,5,7.33,2,0,0,0,13,0,0
5,6,11.25,2,-4,1,0,-53,0,0
1,5,1,2,14,0,0,-7,0,0
7,9,10.91,2,795,0,0,1024,0,0
6,6,22.33,2,-21,0,0,179,0,0
6,4,6.83,3,-33,0,0,-36,0,0
5,9,1.75,2,350,1,0,-22,1,0
4,7,7.75,2,95,1,0,15,1,0
6,5,37.41,2,677,0,0,NA,NA,NA
7,6,7.58,2,6,0,0,-54,0,0
2,1,10.5,1,-12,0,0,-21,0,0
7,7,3.75,3,-3,0,0,-3,0,0
7,3,18.25,2,61,0,0,NA,NA,NA
7,6,19.25,2,-7,0,0,-18,0,0
3,6,11.33,2,8,0,0,-27,0,0
2,2,1.66,2,558,0,0,831,0,0
2,2,4.66,2,194,0,0,102,1,0
5,9,5.83,2,10,0,0,NA,NA,NA
5,6,29.66,2,96,0,0,216,0,0
3,6,10.33,2,258,0,0,207,0,0
4,5,33.5,3,184,1,0,326,1,0
7,1,10.41,2,-72,0,0,-6,0,0
3,6,14.75,2,827,0,0,1248,0,0
6,2,34.25,3,785,0,0,670,0,0
4,3,30.91,3,-34,0,0,-105,0,0
4,2,0.75,2,13,0,0,-8,0,0
4,6,19.41,2,-21,0,0,76,0,0
6,8,7.58,2,-9,0,0,24,0,0
3,5,6,2,127,0,0,109,0,0
2,6,2.33,2,-29,0,0,-17,0,0
2,4,9,2,297,0,0,-8,0,0
4,3,0.5,3,14,0,0,-33,1,0
7,4,13.33,2,-82,0,0,-77,0,0
7,6,7.58,2,-34,0,0,NA,NA,NA
6,5,11.41,2,99,0,0,111,0,0
4,6,4.5,2,-145,0,0,-124,0,0
4,1,1,1,-2,0,0,NA,NA,NA
3,9,9.75,2,9,0,0,204,0,0
4,8,18.58,2,76,0,0,43,0,0
3,9,33.75,2,116,0,0,112,0,0
1,6,3.16,2,116,0,0,NA,NA,NA
4,9,11.25,2,-118,0,0,-124,0,0
3,9,22.83,2,172,0,0,NA,NA,NA
7,6,5.08,2,487,0,0,NA,NA,NA
2,3,6.33,2,-22,1,0,1,1,0
2,4,4.66,1,-48,0,0,-73,0,0
3,5,4.08,3,147,0,0,NA,NA,NA
5,9,1.66,2,49,0,0,64,0,0
6,6,6.75,1,610,0,0,712,0,0
4,6,12.83,2,523,0,0,NA,NA,NA
3,9,4.58,2,125,1,0,-14,0,0
3,6,7.16,2,205,0,0,NA,NA,NA
4,9,3.91,2,922,0,0,797,0,0
2,7,9.66,2,-78,0,0,-26,0,0
6,2,3.33,3,222,0,0,87,0,0
7,2,28.58,2,37,0,0,-55,0,0
3,2,10.66,2,-72,0,0,NA,NA,NA
7,6,8.58,2,63,0,0,408,0,0
4,3,6.33,2,125,0,0,220,0,0
6,8,11.5,2,-148,0,0,-133,1,0
5,1,26.08,1,1364,0,0,46,0,0
2,3,9.5,3,-28,0,0,NA,NA,NA
2,1,6,2,-35,0,0,40,0,0
3,6,13.5,2,-33,0,0,NA,NA,NA
3,8,3.33,2,17,0,0,-130,0,0
7,9,4.91,2,107,0,0,63,0,0
7,9,14.16,2,236,0,0,291,0,0
4,9,5.66,2,124,0,0,454,0,0
2,1,12.25,1,-31,0,0,-31,0,0
4,6,2.66,1,-6,0,0,-31,0,0
5,6,28.33,2,-18,0,0,-10,0,0
4,5,1.66,3,-30,0,0,-30,0,0
3,8,3.25,2,-3,0,0,-3,0,0
4,5,22.08,2,-94,1,0,-86,1,1
3,9,4.66,2,-32,0,0,43,0,0
6,5,6.75,3,-26,0,0,-31,0,0
7,3,3.66,2,-56,0,0,-24,0,0
3,6,5.58,2,-31,0,0,-29,0,0
4,6,2.08,2,257,1,0,-95,1,0
7,3,5.08,1,275,0,0,268,0,0
3,8,4.25,2,491,0,0,NA,NA,NA
2,6,2.33,2,92,0,0,NA,NA,NA
6,6,16.91,2,1362,0,0,1162,0,0
6,6,3.91,2,226,0,0,280,0,0
4,5,3.66,1,-58,0,0,-392,0,0
2,8,3.83,2,377,1,0,NA,NA,NA
6,6,33.41,2,10,0,0,-80,0,0
3,5,5.5,2,-104,0,0,592,0,0
6,5,0.66,2,51,1,1,297,1,0
7,7,15.75,2,-59,0,0,NA,NA,NA
4,7,18.41,3,10,0,0,102,0,0
1,3,5.33,3,9,0,0,10,0,0
5,6,14.08,2,-69,1,1,192,0,0
6,7,5.75,2,11,0,0,NA,NA,NA
4,5,4.25,2,-50,0,0,-109,0,0
3,6,6.16,2,54,0,0,62,0,0
2,8,4.41,2,379,0,0,465,0,0
4,6,1.33,2,-56,0,0,NA,NA,NA
4,5,7.25,3,0,0,0,-1,0,0
7,7,22.41,2,105,0,0,135,0,0
3,7,22.16,2,516,0,0,552,0,0
5,1,13.08,2,531,0,0,527,0,0
2,8,4.75,2,-113,0,0,-113,0,0
6,2,25.41,2,767,0,0,647,0,0
4,7,17.83,2,736,0,0,627,0,0
3,8,1.25,2,120,0,0,704,0,0
3,7,19.83,2,-28,0,0,-36,0,0
6,3,11.5,3,-55,0,0,3,1,0
3,5,5,1,152,0,0,129,0,0
4,4,3.5,2,-4,0,0,-14,0,0
4,6,1.41,2,-37,0,0,202,1,0
2,3,3,2,-47,0,0,17,0,0
4,3,17.91,2,-37,0,0,-10,0,0
2,8,6.58,2,-39,0,0,NA,NA,NA
3,6,7.16,2,159,0,0,192,1,0
2,6,4.58,2,82,0,0,294,0,0
2,6,3.25,2,-56,0,0,-56,0,0
3,6,10.41,3,-51,0,0,-63,0,0
3,6,1.91,2,-98,1,0,NA,NA,NA
6,4,31,2,1043,0,0,880,0,0
3,5,0.83,2,1,1,0,0,1,0
